Deformation due to 50000.0 Pa 
Index    S Position (m)      Z Position 
1     0.0000e+00           0.000000e+00        
2     5.2917e-03           -1.267500e-04       
3     1.0583e-02           -4.412400e-04       
4     1.5875e-02           -8.875200e-04       
5     2.1167e-02           -1.409300e-03       
6     2.6458e-02           -1.970200e-03       
7     3.1750e-02           -2.541100e-03       
8     3.7042e-02           -3.100000e-03       
9     4.2333e-02           -3.631000e-03       
10    4.7625e-02           -4.127100e-03       
11    5.2917e-02           -4.582700e-03       
12    5.8208e-02           -4.993700e-03       
13    6.3500e-02           -5.361400e-03       
14    6.8792e-02           -5.682700e-03       
15    7.4083e-02           -5.962400e-03       
16    7.9375e-02           -6.203500e-03       
17    8.4667e-02           -6.408700e-03       
18    8.9958e-02           -6.581100e-03       
19    9.5250e-02           -6.723700e-03       
20    1.0054e-01           -6.839200e-03       
21    1.0583e-01           -6.930100e-03       
22    1.1113e-01           -6.998300e-03       
23    1.1642e-01           -7.045700e-03       
24    1.2171e-01           -7.073600e-03       
25    1.2700e-01           -7.082800e-03       
26    1.3229e-01           -7.073600e-03       
27    1.3758e-01           -7.045700e-03       
28    1.4288e-01           -6.998300e-03       
29    1.4817e-01           -6.930100e-03       
30    1.5346e-01           -6.839200e-03       
31    1.5875e-01           -6.723700e-03       
32    1.6404e-01           -6.581100e-03       
33    1.6933e-01           -6.408700e-03       
34    1.7462e-01           -6.203500e-03       
35    1.7992e-01           -5.962400e-03       
36    1.8521e-01           -5.682400e-03       
37    1.9050e-01           -5.361000e-03       
38    1.9579e-01           -4.994100e-03       
39    2.0108e-01           -4.582700e-03       
40    2.0637e-01           -4.127000e-03       
41    2.1167e-01           -3.630900e-03       
42    2.1696e-01           -3.100000e-03       
43    2.2225e-01           -2.541100e-03       
44    2.2754e-01           -1.970200e-03       
45    2.3283e-01           -1.409300e-03       
46    2.3812e-01           -8.875200e-04       
47    2.4342e-01           -4.412400e-04       
48    2.4871e-01           -1.267500e-04       
49    2.5400e-01           -1.638000e-18       
